"Comment","Designator","Footprint"
"Battery_Cell","BT1","BatteryHolder_Keystone_3034_1x20mm"
"100n","C1,C12,C13,C23,C7,C11,C14,C24,C22,C15,C57,C58,C40,C3,C4,C29,C62,C46","C_0402_1005Metric"
"10u","C5,C47,C49,C51,C52,C10,C6,C20,C21,C19,C17,C33,C30,C32,C31,C2","C_0805_2012Metric"
"100n 100v","C36","C_0402_1005Metric"
"Conn_01x22_Female","J5,J16,J15,J4","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal"
"Conn_01x03","J1,J3","PinHeader_1x03_P2.54mm_Vertical"
"1k","R10,R1","R_0402_1005Metric"
"2.2K 1%","R11,R28,R6,R7,R8","R_0402_1005Metric"
"36K 1%","R21,R16,R14,R13,R12","R_0402_1005Metric"
"TPD4EUSB30","U1,U2,U4","USON-10_2.5x1.0mm_P0.5mm"
"RT9742SNGV","U12","SOT-23"
"THD-20-R","J8","PinHeader_2x20_P2.54mm_Vertical"
"Conn_02x05_Odd_Even","J14","PinHeader_2x05_P2.54mm_Vertical"
"LED Green","D2","LED_0603_1608Metric"
"EMC2301-1-ACZL-TR","U11","MSOP-8_3x3mm_P0.65mm"
"27pF","C9,C8","C_0402_1005Metric"
"24MHz","Y1","Crystal_SMD_HC49-SD"
"74LVC1G07SE-7","U14,U5,U9","SOT-353_SC-70-5"
"USB2514B-I/M2","U6","QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm"
"510K 1%","R20,R19","R_0402_1005Metric"
"12K 1%","R15,R26,R27,R23,R29","R_0402_1005Metric"
"470R","R3,R2","R_0402_1005Metric"
"THD-02-R","J9,J6","PinHeader_2x02_P2.54mm_Vertical"
"USB_OTG","J11","USB_Micro-B_EDAC_UCON00686"
"LED Red","D1","LED_0603_1608Metric"
"RT9742GGJ5","U18","SOT-23-5"
"Barrel_Jack","J19","BarrelJack_Horizontal"
"MagJack-A70-112-331N126","U3","TRJG0926HENL"
"690-019-298-412","J10,J22","EDAC 690-019-298-412"
"15K 1%","R36,R30","R_0402_1005Metric"
"AP22653W6","U7","SOT-23-6"
"FSUSB42MUX","U13","MSOP-10_3x3mm_P0.5mm"
"690-008-221-904","J13","MOLEX_USB_67298-4090"
"Molex 470531000","J17","FanPinHeader_1x04_P2.54mm_Vertical"
"MountingHole","H1,H2,H3,H4,H5,H6,H7,H8","MountingHole_2.7mm_M2.5"
"MMBZ5242BLT3G","D4","D_SOT-23_ANK"
"nf","C59,C61,C65,C63","C_0402_1005Metric"
"1.2nF","C60,C64","C_0402_1005Metric"
"SRN6045TA-3R3Y","L5,L3","L_Bourns_SRN6045TA"
"10R","R9,R22","R_0402_1005Metric"
"AP64501SP-13","U16","SOIC-8-1EP_3.9x4.9mm_P1.27mm"
"20K 1%","R25","R_0402_1005Metric"
"AMP171826-4","J20","TE_171826-4"
"Conn_02x07_Odd_Even","J2","PinHeader_2x07_P2.54mm_Vertical"
"nf","R4","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"0R","R5","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"BAT54C-7-F","D3","SOT-23"
"PCF85063AT/AAZ","U8","SOIC-8_3.9x4.9mm_P1.27mm"
"X32K768S301","Y2","Crystal_SMD_3215-2Pin_3.2x1.5mm"
"Micro_SD_Card_Det","J7","SDCARD_MOLEX_503398-1892"
"DMP3013SFV-7","Q1","Diodes_PowerDI3333-8"
"47K 1%","R24","R_0402_1005Metric"
"AP64501SP-13","U15","SOIC-8-1EP_3.9x4.9mm_P1.27mm"
"10018783-11200TLF","J12","PCIex1-36"
"100uF","C16,C18,C45","CP_EIA-7343-31_Kemet-D"
"10u 35v","C34,C35,C37,C38,C39,C41,C25,C26,C27,C28,C43,C44,C42","C_0805_2012Metric"
"nf","R17,R18","R_0402_1005Metric"
"ComputeModule4","Module1","Raspberry-Pi-4-Compute-Module"
"TestPoint","TP1,TP2,TP6,TP4,TP3,TP5","TestPoint_Pad_2.0x2.0mm"
