"Reference","Value","Datasheet","Footprint","Qty","DNP","Field4","Field5","Field6","Field7","Field8","Part Description"
"BT1","Battery_Cell","https://www.keyelco.com/userAssets/file/M65p9.pdf","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","","Digikey","36-3034-ND","3034","Keystone","","Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab"
"C1,C3,C4,C15","10u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf,~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","4","","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C2","100uF","~","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","1","","Mouser","667-EEF-CX0J101R","","Panasonic","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"C5,C6,C7,C11,C41,C42,C43,C44,C45,C46,C64,C65,C66,C67","100n","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf,~","Capacitor_SMD:C_0805_2012Metric","14","","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C8,C9,C10,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C39,C59,C60,C61,C76,C77,C80,C81,C82,C83,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C100,C101,C103,C104,C105,C106,C107,C110,C111,C116,C117,C118,C119,C121,C124,C125,C127,C128,C132,C133,C134,C135,C136,C138,C141","1uf","~","Capacitor_SMD:C_0805_2012Metric","70","","","","","","",""
"C12,C14","27pF","~","Capacitor_SMD:C_0805_2012Metric","2","","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"C13,C79,C84","100nf","~","Capacitor_SMD:C_0805_2012Metric","3","","","","","","",""
"C16","470uF","~","Capacitor_SMD:CP_Elec_8x10","1","","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"C47,C48,C49,C53,C54,C55,C68,C69,C72,C73","nf","~","Capacitor_SMD:C_0805_2012Metric","10","","Digikey","490-17672-2-ND","GJM1555C1H270JB01D","Murata","","27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"C50,C51,C52,C70,C71","1.2nF","~","Capacitor_SMD:C_0805_2012Metric","5","","Digikey","490-16429-1-ND","GCM155R71H122KA37D","Murata","","1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C56,C57,C58,C74,C75,C96,C97,C98,C99,C102,C139,C140,C142,C143","470uf","~","Capacitor_SMD:CP_Elec_8x10","14","","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"C78,C129,C130,CT1,CT2,CT3","100uf","~","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","6","","","","","","",""
"C108,C109","0.1uF","","Capacitor_SMD:C_0805_2012Metric","2","","","","","","",""
"C112,C113","22pF","","Capacitor_SMD:C_0805_2012Metric","2","","","","","","",""
"C120,C122","C","~","Capacitor_SMD:C_0805_2012Metric","2","","","","","","",""
"C123,C126,C137","0.022-μF","~","Capacitor_SMD:C_0805_2012Metric","3","","","","","","",""
"C131,CT4,CT5,CT6,CT7,CT8,CT9,CT10","10uf","~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","8","","","","","","",""
"D1,D3","LED Green","http://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf","Diode_SMD:D_1206_3216Metric","2","","Digikey ","LTST-S270KGKT","SML-A12M8TT86N","Rohm","650263301","Green 572nm LED Indication - Discrete 2.2V 2-SMD, No Lead"
"D2","LED Red","http://optoelectronics.liteon.com/upload/download/DS22-2000-210/LTST-S270KRKT.pdf","Diode_SMD:D_1206_3216Metric","1","","Digikey ","LTST-S270KRKT","SML-A12U8TT86Q","Rohm","650295101","Red 620nm LED Indication - Discrete 2.2V 2-SMD, No Lead"
"D4,D5,D6,D8,D9,D10,D11","LED","~","Diode_SMD:D_1206_3216Metric","7","","","","","","",""
"DC1,DC2,DC3,DC4,DC5,DC6","Conn_01x02_Socket","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","6","","","","","","",""
"DSI1,DSI2","Conn_01x22_Female","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","CM5IO:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","2","","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"DSW1,DSW2,DSW3","SW_DIP_x08","~","Button_Switch_SMD:SW_DIP_SPSTx08_Slide_Copal_CHS-08A_W5.08mm_P1.27mm_JPin","3","","","","","","",""
"ESP1","ESP32-S3-WROOM-2","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-2_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-2","1","","","","","","",""
"GPIO1","THD-20-R","https://www.toby.co.uk/uploads/publications/1673.pdf","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1","","Toby","THD-20-R","THD-20-R","Toby","UCON00511","PinHeader_2x20_P2.54mm_Vertical"
"HS1","Heatsink","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1","","","","","","",""
"I2C_0x70_1,I2C_0x70_2,I2C_0x70_3,I2C_0x70_4,I2C_0x70_5,I2C_0x70_6,I2C_0x70_7,I2C_0x70_8,I2C_0x71_1,I2C_0x71_2,I2C_0x71_3,I2C_0x71_4,I2C_0x71_5,I2C_0x71_7,I2C_0x71_8,I2C_1,I2C_2,JI2C_0x71_6","Conn_01x04_Pin","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","18","","","","","","",""
"J1","XT60-M","","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","1","","","","","","",""
"J2","USB3_A","~","CM5IO:MTCONN_UBAF30-D2011","1","","","UBAF30-D2011","UBAF30-D2011","Mtconn","","Dual USB 3 connector"
"J3,J4","690-019-298-412","https://www.tme.eu/Document/f15dffbcfad8545e17826f72d36911c8/206A-SEAN-R03.pdf","CM5IO:EDAC 690-019-298-412","2","","Farnell","2614936","690-019-298-412","EDAC","UCON00802","HDMI Connector, Right Angle, 19 Contacts, Receptacle, Surface Mount, Surface Mount Right Angle"
"J5","MagJack-A70-112-331N126","https://p.globalsources.com/IMAGES/PDT/SPEC/690/K1160305690.pdf","CM5IO:TRJG0926HENL","1","","","TRJG0926HENL","TRJG0926HENL","Trxcon","UCON00900","Gigabit Ethernet Magjack"
"J6","Bus_M.2_Socket_M","","CM5IO:M.2 M Key socket","1","","","MTSSD03-67MSW337","MTSSD03-67MSW337","MTCONN","","M.2 M Key connector"
"J7","690-008-221-904","Conn USB Type A RCP 4/4 POS Solder RA Thru-Hole 8 Terminal 2 Port Tray","CM5IO:MOLEX_USB_67298-4090","1","","Farnell","2751688","None","Molex","None","USB-A (USB TYPE-A), Stacked Receptacle Connector 8 Position Through Hole, Right Angle"
"J8,J9,J10","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_Palconn_UTC16-G","3","","","","","","",""
"J11,J13","THD-02-R","https://www.toby.co.uk/uploads/publications/1673.pdf","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","2","","Toby","THD-02-R","151-604-425-761","EDAC","UCON00791","PinHeader_2x02_P2.54mm_Vertical"
