"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Field4","Field5","Field6","Field7","Field8","Part Description","Description","Check_prices","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Description_1","Price","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Sim.Type","SnapEDA_Link","Url","Availability"
"BT1","Battery_Cell","https://www.keyelco.com/userAssets/file/M65p9.pdf","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","","1","Digikey","36-3034-ND","3034","Keystone","","Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab","","","","","","","","","","","","","","","","","",""
"C1,C3,C4","10u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","3","","2","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)","","","","","","","","","","","","","","","","","",""
"C2","100uF","~","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","1","","3","Mouser","667-EEF-CX0J101R","","Panasonic","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR","","","","","","","","","","","","","","","","","",""
"C5,C6,C7,C11","100n","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Capacitor_SMD:C_0805_2012Metric","4","","4","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","","","","","","","","","","","","","","","","","",""
"C8,C9,C10,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C80,C81,C82,C83,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C100,C101,C103,C104,C105,C106,C107,C110,C111,C116,C117,C118,C119,C121,C124,C125,C127,C128,C134,C135,C136,C138,C141","1uf","~","Capacitor_SMD:C_0805_2012Metric","62","","5","","","","","","","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C12,C14","22pf","~","Capacitor_SMD:C_0805_2012Metric","2","","6","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C13,C42,C79,C84","100nf","~","Capacitor_SMD:C_0805_2012Metric","4","","7","","","","","","","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C15","10u","~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","1","","8","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C16","470uF","~","Capacitor_SMD:CP_Elec_8x10","1","","9","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR","","","","","","","","","","","","","","","","","",""
"C38,C40,C56,C57,C59,C61,C62,C63,C74,C76,C114,C115,C147,C148,C149,C150,C151,C152,C156,C157,C158,C159","4,7uf","~","Capacitor_SMD:C_0805_2012Metric","22","","10","","","","","","","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C39,C47,C49,C68","68pf","~","Capacitor_SMD:C_0805_2012Metric","4","","11","","","","","","","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C41,C43,C44,C46,C64,C66,C144,C145,C153,C154","100n","~","Capacitor_SMD:C_0805_2012Metric","10","","12","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C50,C52,C70","1.2nF","~","Capacitor_SMD:C_0805_2012Metric","3","","13","Digikey","490-16429-1-ND","GCM155R71H122KA37D","Murata","","1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric)","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C53,C55,C72","68pf","~","Capacitor_SMD:C_0805_2012Metric","3","","14","Digikey","490-17672-2-ND","GJM1555C1H270JB01D","Murata","","27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C78","100uf","~","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","1","","15","","","","","","","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
"C96,C97,C98,C99,C102,C139,C140,C142,C143","470uf","~","Capacitor_SMD:CP_Elec_8x10","9","","16","","","","","","","Polarized capacitor","","","","","","","","","","","","","","","","",""
"C108,C109","0.1uF","","Capacitor_SMD:C_0805_2012Metric","2","","17","","","","","","","","","","","","","","","","","","","","","","","",""
"C112,C113","22pF","","Capacitor_SMD:C_0805_2012Metric","2","","18","","","","","","","","","","","","","","","","","","","","","","","",""
"C120,C122","22pf","~","Capacitor_SMD:C_0805_2012Metric","2","","19","","","","","","","Unpolarized capacitor","","","","","","","","","","","","","","","","",""
