"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP13,TP12,TP5,TP16,TP6";"TestPoint_Pad_D2.0mm";5;"TestPoint";;;
2;"D15,D36,D28,D8,D23,D10,D37,D26,D7,D32,D11,D43,D18,D39,D17,D27,D42,D9,D35,D21,D29,D14,D33,D30,D41,D38,D40,D34,D13,D19,D24,D25,D22,D12,D31,D20";"D_1206_3216Metric";36;"LED";;;
3;"C114,C74,C115,C76,C63,C149,C147,C151,C61,C150,C158,C56,C59,C40,C148,C152,C57,C38,C51,C45,C156,C157,C48,C62,C159";"C_0805_2012Metric";25;"4,7uf";;;
4;"R57,R92,R86,R93,R87";"R_0805_2012Metric";5;"330";;;
5;"R88,R90,R95,R163,R85,R84,R91,R174,R94,R89,R14";"R_0805_2012Metric";11;"10k";;;
6;"C43,C153,C41,C154,C46,C64,C44,C144,C66,C145";"C_0805_2012Metric";10;"100n";;;
7;"R56,R60,R66";"R_0805_2012Metric";3;"33k";;;
8;"CT5";"CP_EIA-3528-21_Kemet-B";1;"10uf";;;
9;"SERVO2,SERVO4,SERVO1,SERVO3";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";4;"Conn_01x03_Socket";;;
10;"M6,M7,M5,M4";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";4;"Stepper_Motor_unipolar_6pin";;;
11;"R34,R39,R42,R43,R45,R48,R37,R47,R38,R44,R35,R36,R40,R46,R33,R41";"R_1206_3216Metric";16;"0.025Ω";;;
12;"R82,R81,R80,R67,R77,R68,R79,R78,R76";"R_0805_2012Metric";9;"R_LED";;;
13;"C37,C34,C141,C31,C25,C33,C26,C101,C29,C35,C36,C32,C23,C28,C24,C22,C30,C27,C100";"C_0805_2012Metric";19;"1uf";;;
14;"R165,R173";"R_0805_2012Metric";2;"34,8k";;;
15;"J14";"Amphenol_F32Q-1A7x1-11060_1x60-1MP_P0.5mm_Horizontal";1;"Conn_01x60_MountingPin";;;
16;"DC6,DC5,DC4,DC1,DC2,DC3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";6;"Conn_01x02_Socket";;;
17;"U49,U50,U51,U48";"TMC2209";4;"TMC2240_SILENTSTEPSTICK";;;
18;"C52,C70,C50";"C_0805_2012Metric";3;"1.2nF";;;
19;"U26,U16,U25,U20,U27,U23,U19,U22,U24,U28,U18,U17,U30,U15,U29,U21";"VSSOP-10_3x3mm_P0.5mm";16;"INA226";;;
20;"R160,R175";"R_0805_2012Metric";2;"154k";;;
21;"U40,U35,U44,U42,U43,U41";"SOT-23-6";6;"AP22815AWU";;;
22;"R53";"R_0805_2012Metric";1;"100";;;
23;"U67";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"PCA9685PW";;;
24;"U33,U34,U31";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias";3;"AP64501SP-13";;;
25;"R61,R51,R49";"R_0805_2012Metric";3;"10R";;;
26;"L1,L6,L7,L3,L4";"L_KOHERelec_MDA7030";5;"HCM0703-3R3-R";;;
27;"J31,J32";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";2;"Conn_01x02_Pin";;;
28;"R161,R178";"R_0805_2012Metric";2;"36k";;;
29;"J1";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"XT60-M";;;
30;"R62,R58,R64";"R_0805_2012Metric";3;"100R";;;
31;"R52,R63,R54";"R_0805_2012Metric";3;"12K 1%";;;
32;"R177,R162";"R_0805_2012Metric";2;"510k";;;
33;"C96,C97,C98,C99";"CP_Elec_8x10";4;"470uf";;;
34;"R59";"R_0805_2012Metric";1;"210k";;;
35;"R171,R172,R169,R166,R170";"R_0805_2012Metric";5;"47k";;;
36;"C55,C47,C53,C49,C72,C68";"C_0805_2012Metric";6;"68pf";;;
37;"R50";"R_0805_2012Metric";1;"1k";;;
38;"C146,C155";"C_0805_2012Metric";2;"330pf";;;
39;"R164,R176";"R_0805_2012Metric";2;"2,2k";;;
40;"Q1";"SOT-23";1;"bss138";;;
41;"DSW1";"SW_DIP_SPSTx08_Slide_Copal_CHS-08A_W5.08mm_P1.27mm_JPin";1;"SW_DIP_x08";;;
42;"R55";"R_0805_2012Metric";1;"105k";;;
43;"U52";"SSOP-24_5.3x8.2mm_P0.65mm";1;"TB6612FNG";;;
44;"J25";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Conn_01x03_Pin";;;
45;"J26";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Counter_Clockwise";;;
46;"R65";"R_0805_2012Metric";1;"178k";;;
47;"U53";"SSOP-28_3.9x9.9mm_P0.635mm";1;"MCP23S17_SO";;;
48;"J16";"PinSocket_1x12_P2.54mm_Vertical";1;"Conn_01x12";;;
49;"U39,U36";"SOP65P640X120-29N";2;"LTC3119EFE_PBF";;;
