Ref,Val,Package,PosX,PosY,Rot,Side
"C1,""10u"",""CP_EIA-3528-21_Kemet-B"",337.000000,-281.000000,-0.000000,bottom"
"C2,""1uf"",""C_0805_2012Metric"",316.000000,-249.000000,-0.000000,bottom"
"C3,""10u"",""CP_EIA-3528-21_Kemet-B"",226.000000,-275.000000,-0.000000,bottom"
"C4,""10u"",""CP_EIA-3528-21_Kemet-B"",209.000000,-280.000000,-0.000000,bottom"
"C5,""1uf"",""C_0805_2012Metric"",334.000000,-263.000000,-0.000000,bottom"
"C6,""1uf"",""C_0805_2012Metric"",311.000000,-249.000000,-0.000000,bottom"
"C12,""27pF"",""C_0805_2012Metric"",231.000000,-263.000000,-0.000000,bottom"
"C13,""100nf"",""C_0805_2012Metric"",313.000000,-287.000000,-0.000000,bottom"
"C14,""27pF"",""C_0805_2012Metric"",237.000000,-263.000000,-0.000000,bottom"
"C15,""10u"",""CP_EIA-3528-21_Kemet-B"",345.000000,-286.000000,-0.000000,bottom"
"C16,""470uF"",""CP_Elec_8x10"",240.000000,-283.000000,-0.000000,bottom"
"C17,""1uf"",""C_0805_2012Metric"",303.000000,-210.000000,-0.000000,bottom"
"C18,""1uf"",""C_0805_2012Metric"",298.000000,-210.000000,-0.000000,bottom"
"C19,""1uf"",""C_0805_2012Metric"",350.000000,-243.000000,-0.000000,bottom"
"C20,""1uf"",""C_0805_2012Metric"",304.000000,-249.000000,-0.000000,bottom"
"C21,""1uf"",""C_0805_2012Metric"",298.000000,-216.000000,-0.000000,bottom"
"C22,""1uf"",""C_0805_2012Metric"",213.000000,-266.000000,-0.000000,bottom"
"C23,""1uf"",""C_0805_2012Metric"",331.000000,-281.000000,-0.000000,bottom"
"C24,""1uf"",""C_0805_2012Metric"",323.000000,-219.000000,-0.000000,bottom"
"C25,""1uf"",""C_0805_2012Metric"",205.000000,-262.000000,-0.000000,bottom"
"C26,""1uf"",""C_0805_2012Metric"",344.000000,-263.000000,-0.000000,bottom"
"C27,""1uf"",""C_0805_2012Metric"",270.000000,-197.000000,-0.000000,bottom"
"C28,""1uf"",""C_0805_2012Metric"",223.000000,-286.000000,-0.000000,bottom"
"C29,""1uf"",""C_0805_2012Metric"",328.000000,-219.000000,-0.000000,bottom"
"C30,""1uf"",""C_0805_2012Metric"",291.000000,-255.000000,-0.000000,bottom"
"C31,""1uf"",""C_0805_2012Metric"",214.000000,-277.000000,-0.000000,bottom"
"C32,""1uf"",""C_0805_2012Metric"",265.000000,-272.000000,-0.000000,bottom"
"C33,""1uf"",""C_0805_2012Metric"",335.000000,-287.000000,-0.000000,bottom"
"C34,""1uf"",""C_0805_2012Metric"",292.000000,-249.000000,-0.000000,bottom"
"C35,""1uf"",""C_0805_2012Metric"",342.000000,-219.000000,-0.000000,bottom"
"C36,""1uf"",""C_0805_2012Metric"",339.000000,-269.000000,-0.000000,bottom"
"C37,""1uf"",""C_0805_2012Metric"",349.000000,-263.000000,-0.000000,bottom"
"C38,""1uf"",""C_0805_2012Metric"",347.000000,-250.000000,-0.000000,bottom"
"C39,""1uf"",""C_0805_2012Metric"",293.000000,-236.000000,-0.000000,bottom"
"C40,""1uf"",""C_0805_2012Metric"",339.000000,-250.000000,-0.000000,bottom"
"C41,""100n"",""C_0805_2012Metric"",210.000000,-256.000000,90.000000,bottom"
"C42,""100n"",""C_0805_2012Metric"",310.000000,-281.000000,90.000000,bottom"
"C43,""100n"",""C_0805_2012Metric"",221.000000,-197.000000,90.000000,bottom"
"C44,""100n"",""C_0805_2012Metric"",201.000000,-257.000000,90.000000,bottom"
"C45,""100n"",""C_0805_2012Metric"",305.000000,-281.000000,90.000000,bottom"
"C46,""100n"",""C_0805_2012Metric"",212.000000,-197.000000,90.000000,bottom"
"C47,""nf"",""C_0805_2012Metric"",204.000000,-257.000000,90.000000,bottom"
"C48,""nf"",""C_0805_2012Metric"",308.000000,-267.000000,90.000000,bottom"
"C49,""nf"",""C_0805_2012Metric"",204.000000,-201.000000,90.000000,bottom"
"C50,""1.2nF"",""C_0805_2012Metric"",224.000000,-193.000000,90.000000,bottom"
"C51,""1.2nF"",""C_0805_2012Metric"",207.000000,-228.000000,90.000000,bottom"
"C52,""1.2nF"",""C_0805_2012Metric"",224.000000,-219.000000,90.000000,bottom"
"C53,""nf"",""C_0805_2012Metric"",212.000000,-235.000000,90.000000,bottom"
"C54,""nf"",""C_0805_2012Metric"",295.000000,-270.000000,90.000000,bottom"
"C55,""nf"",""C_0805_2012Metric"",209.000000,-197.000000,90.000000,bottom"
"C56,""470uf"",""CP_Elec_8x10"",236.000000,-194.000000,-0.000000,bottom"
"C57,""470uf"",""CP_Elec_8x10"",212.000000,-242.000000,-0.000000,bottom"
"C58,""470uf"",""CP_Elec_8x10"",281.000000,-204.000000,-0.000000,bottom"
"C59,""1uf"",""C_0805_2012Metric"",286.000000,-222.000000,90.000000,bottom"
"C60,""1uf"",""C_0805_2012Metric"",275.000000,-192.000000,90.000000,bottom"
"C61,""1uf"",""C_0805_2012Metric"",212.000000,-192.000000,90.000000,bottom"
"C62,""1uf"",""C_0805_2012Metric"",340.000000,-243.000000,-0.000000,bottom"
"C63,""1uf"",""C_0805_2012Metric"",352.000000,-249.000000,-0.000000,bottom"
"C64,""100n"",""C_0805_2012Metric"",212.000000,-261.000000,90.000000,bottom"
"C65,""100n"",""C_0805_2012Metric"",215.000000,-197.000000,90.000000,bottom"
"C66,""100n"",""C_0805_2012Metric"",209.000000,-275.000000,90.000000,bottom"
"C67,""100n"",""C_0805_2012Metric"",201.000000,-202.000000,90.000000,bottom"
"C68,""nf"",""C_0805_2012Metric"",209.000000,-267.000000,90.000000,bottom"
"C69,""nf"",""C_0805_2012Metric"",201.000000,-197.000000,90.000000,bottom"
"C70,""1.2nF"",""C_0805_2012Metric"",282.000000,-267.000000,90.000000,bottom"
"C71,""1.2nF"",""C_0805_2012Metric"",232.000000,-219.000000,90.000000,bottom"
"C72,""nf"",""C_0805_2012Metric"",249.000000,-260.000000,90.000000,bottom"
"C73,""nf"",""C_0805_2012Metric"",269.000000,-192.000000,90.000000,bottom"
"C74,""470uf"",""CP_Elec_8x10"",245.000000,-248.000000,-0.000000,bottom"
"C75,""470uf"",""CP_Elec_8x10"",284.000000,-214.000000,-0.000000,bottom"
"C76,""1uf"",""C_0805_2012Metric"",246.000000,-255.000000,90.000000,bottom"
"C77,""1uf"",""C_0805_2012Metric"",278.000000,-192.000000,90.000000,bottom"
"C85,""1uf"",""C_0805_2012Metric"",326.000000,-256.000000,-0.000000,bottom"
"C86,""1uf"",""C_0805_2012Metric"",324.000000,-250.000000,-0.000000,bottom"
"C87,""1uf"",""C_0805_2012Metric"",312.000000,-256.000000,-0.000000,bottom"
"C88,""1uf"",""C_0805_2012Metric"",308.000000,-210.000000,-0.000000,bottom"
"C89,""100n"",""C_0805_2012Metric"",220.000000,-271.000000,-0.000000,bottom"
"C90,""100n"",""C_0805_2012Metric"",205.000000,-271.000000,-0.000000,bottom"
"C91,""100uF"",""CP_EIA-7343-31_Kemet-D"",221.000000,-280.000000,-0.000000,bottom"
"C100,""1uf"",""C_0805_2012Metric"",352.000000,-240.000000,-0.000000,bottom"
"C101,""1uf"",""C_0805_2012Metric"",302.000000,-230.000000,-0.000000,bottom"
"C102,""470uf"",""CP_Elec_8x10"",225.000000,-226.000000,-0.000000,bottom"
"C103,""1uf"",""C_0805_2012Metric"",304.000000,-255.000000,-0.000000,bottom"
"C104,""1uf"",""C_0805_2012Metric"",278.000000,-267.000000,-0.000000,bottom"
"C105,""1uf"",""C_0805_2012Metric"",244.000000,-192.000000,-0.000000,bottom"
"C106,""1uf"",""C_0805_2012Metric"",299.000000,-236.000000,-0.000000,bottom"
"C107,""1uf"",""C_0805_2012Metric"",293.000000,-207.000000,-0.000000,bottom"
"C108,""0.1uF"",""C_0805_2012Metric"",303.000000,-243.000000,-0.000000,bottom"
"C109,""0.1uF"",""C_0805_2012Metric"",318.000000,-191.000000,-0.000000,bottom"
"C110,""1uf"",""C_0805_2012Metric"",212.000000,-212.000000,-0.000000,bottom"
"C111,""1uf"",""C_0805_2012Metric"",212.000000,-209.000000,-0.000000,bottom"
"C112,""22pF"",""C_0805_2012Metric"",224.000000,-206.000000,-0.000000,bottom"
"C113,""22pF"",""C_0805_2012Metric"",240.000000,-207.000000,-0.000000,bottom"
"C116,""1uf"",""C_0805_2012Metric"",353.000000,-237.000000,-0.000000,bottom"
"C117,""1uf"",""C_0805_2012Metric"",353.000000,-234.000000,-0.000000,bottom"
"C118,""1uf"",""C_0805_2012Metric"",353.000000,-231.000000,-0.000000,bottom"
"C119,""1uf"",""C_0805_2012Metric"",304.000000,-236.000000,-0.000000,bottom"
"C120,""C"",""C_0805_2012Metric"",327.000000,-263.000000,-0.000000,bottom"
"C121,""1uf"",""C_0805_2012Metric"",205.000000,-265.000000,-0.000000,bottom"
"C122,""C"",""C_0805_2012Metric"",326.000000,-280.000000,-0.000000,bottom"
"C123,""0.022-μF"",""C_0805_2012Metric"",216.000000,-251.000000,-0.000000,bottom"
"C124,""1uf"",""C_0805_2012Metric"",325.000000,-288.000000,-0.000000,bottom"
"C125,""1uf"",""C_0805_2012Metric"",339.000000,-256.000000,-0.000000,bottom"
"C126,""0.022-μF"",""C_0805_2012Metric"",220.000000,-264.000000,-0.000000,bottom"
"C127,""1uf"",""C_0805_2012Metric"",344.000000,-270.000000,-0.000000,bottom"
"C128,""1uf"",""C_0805_2012Metric"",350.000000,-269.000000,-0.000000,bottom"
"C129,""100uf"",""CP_EIA-7343-31_Kemet-D"",319.000000,-270.000000,-0.000000,bottom"
"C130,""100uf"",""CP_EIA-7343-31_Kemet-D"",319.000000,-280.000000,-0.000000,bottom"
"C131,""10uf"",""CP_EIA-3528-21_Kemet-B"",345.000000,-281.000000,-0.000000,bottom"
"C132,""1uf"",""C_0805_2012Metric"",321.000000,-256.000000,-0.000000,bottom"
"C133,""1uf"",""C_0805_2012Metric"",314.000000,-263.000000,-0.000000,bottom"
"C134,""1uf"",""C_0805_2012Metric"",297.000000,-249.000000,-0.000000,bottom"
"C135,""1uf"",""C_0805_2012Metric"",205.000000,-268.000000,-0.000000,bottom"
"C136,""1uf"",""C_0805_2012Metric"",339.000000,-263.000000,-0.000000,bottom"
"C137,""0.022-μF"",""C_0805_2012Metric"",293.000000,-262.000000,-0.000000,bottom"
"C139,""470uf"",""CP_Elec_8x10"",222.000000,-258.000000,-0.000000,bottom"
"C140,""470uf"",""CP_Elec_8x10"",234.000000,-257.000000,-0.000000,bottom"
"C141,""1uf"",""C_0805_2012Metric"",211.000000,-206.000000,-0.000000,bottom"
"C142,""470uf"",""CP_Elec_8x10"",226.000000,-212.000000,-0.000000,bottom"
"C143,""470uf"",""CP_Elec_8x10"",237.000000,-226.000000,-0.000000,bottom"
"CT2,""100uf"",""CP_EIA-7343-31_Kemet-D"",350.000000,-220.000000,-0.000000,bottom"
"CT4,""10uf"",""CP_EIA-3528-21_Kemet-B"",253.000000,-201.000000,-0.000000,bottom"
"CT5,""10uf"",""CP_EIA-3528-21_Kemet-B"",287.000000,-192.000000,-0.000000,bottom"
"CT6,""10uf"",""CP_EIA-3528-21_Kemet-B"",293.000000,-211.000000,-0.000000,bottom"
"CT7,""10uf"",""CP_EIA-3528-21_Kemet-B"",212.000000,-216.000000,-0.000000,bottom"
"CT8,""10uf"",""CP_EIA-3528-21_Kemet-B"",260.000000,-194.000000,-0.000000,bottom"
"CT9,""10uf"",""CP_EIA-3528-21_Kemet-B"",205.000000,-275.000000,-0.000000,bottom"
"D7,""LED"",""D_1206_3216Metric"",345.000000,-243.000000,-0.000000,bottom"
"D8,""LED"",""D_1206_3216Metric"",347.000000,-216.000000,-0.000000,bottom"
"D9,""LED"",""D_1206_3216Metric"",311.000000,-219.000000,-0.000000,bottom"
"D10,""LED"",""D_1206_3216Metric"",321.000000,-237.000000,-0.000000,bottom"
"FB1,""FerriteBead"",""R_2512_6332Metric"",213.000000,-230.000000,-0.000000,bottom"
"L1,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",207.000000,-250.000000,-0.000000,bottom"
"L2,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",295.000000,-282.000000,-0.000000,bottom"
"L3,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",234.000000,-202.000000,-0.000000,bottom"
"L4,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",238.000000,-234.000000,-0.000000,bottom"
"L5,""SRN6045TA-3R3Y"",""L_Bourns_SRN6045TA"",252.000000,-195.000000,-0.000000,bottom"
"Q4,""IRLML2502"",""SOT-23"",292.000000,-216.000000,-0.000000,bottom"
"Q5,""IRLML2502"",""SOT-23"",277.000000,-282.000000,-0.000000,bottom"
"Q6,""IRLML2502"",""SOT-23"",316.000000,-237.000000,-0.000000,bottom"
"Q7,""IRLML2502"",""SOT-23"",316.000000,-242.000000,-0.000000,bottom"
"Q8,""IRLML2502"",""SOT-23"",217.000000,-235.000000,-0.000000,bottom"
"Q9,""IRLML2502"",""SOT-23"",236.000000,-245.000000,-0.000000,bottom"
"Q10,""IRLML2502"",""SOT-23"",280.000000,-261.000000,-0.000000,bottom"
"Q11,""IRLML2502"",""SOT-23"",335.000000,-242.000000,-0.000000,bottom"
"Q12,""IRLML2502"",""SOT-23"",293.000000,-229.000000,-0.000000,bottom"
"Q13,""IRLML2502"",""SOT-23"",316.000000,-216.000000,-0.000000,bottom"
"Q14,""IRLML2502"",""SOT-23"",236.000000,-250.000000,-0.000000,bottom"
"Q15,""IRLML2502"",""SOT-23"",340.000000,-236.000000,-0.000000,bottom"
"Q16,""IRLML2502"",""SOT-23"",335.000000,-237.000000,-0.000000,bottom"
"Q17,""IRLML2502"",""SOT-23"",347.000000,-239.000000,-0.000000,bottom"
"Q18,""IRLML2502"",""SOT-23"",251.000000,-286.000000,-0.000000,bottom"
"Q20,""IRLML2502"",""SOT-23"",335.000000,-201.000000,-0.000000,bottom"
"Q21,""IRLML2502"",""SOT-23"",340.000000,-198.000000,-0.000000,bottom"
"Q22,""IRLML2502"",""SOT-23"",252.000000,-207.000000,-0.000000,bottom"
"Q23,""IRLML2502"",""SOT-23"",353.000000,-225.000000,-0.000000,bottom"
"Q24,""IRLML2502"",""SOT-23"",328.000000,-195.000000,-0.000000,bottom"
"Q25,""IRLML2502"",""SOT-23"",309.000000,-203.000000,-0.000000,bottom"
"R1,""15K 1%"",""R_0805_2012Metric"",202.000000,-234.000000,-0.000000,bottom"
"R2,""2.2K 1%"",""R_0805_2012Metric"",203.000000,-227.000000,-0.000000,bottom"
"R3,""2.2K 1%"",""R_0805_2012Metric"",207.000000,-224.000000,-0.000000,bottom"
"R4,""2.2K 1%"",""R_0805_2012Metric"",202.000000,-224.000000,-0.000000,bottom"
"R16,""2.2K 1%"",""R_0805_2012Metric"",203.000000,-237.000000,-0.000000,bottom"
"R17,""2.2K 1%"",""R_0805_2012Metric"",292.000000,-287.000000,-0.000000,bottom"
"R18,""10k"",""R_0805_2012Metric"",287.000000,-287.000000,-0.000000,bottom"
"R19,""36K 1%"",""R_0805_2012Metric"",287.000000,-284.000000,-0.000000,bottom"
"R20,""36K 1%"",""R_0805_2012Metric"",246.000000,-277.000000,-0.000000,bottom"
"R21,""36K 1%"",""R_0805_2012Metric"",277.000000,-287.000000,-0.000000,bottom"
"R22,""12K 1%"",""R_0805_2012Metric"",222.000000,-268.000000,-0.000000,bottom"
"R23,""5.1K 1%"",""R_0805_2012Metric"",304.000000,-288.000000,-0.000000,bottom"
"R24,""5.1K 1%"",""R_0805_2012Metric"",304.000000,-285.000000,-0.000000,bottom"
"R25,""36K 1%"",""R_0805_2012Metric"",272.000000,-287.000000,-0.000000,bottom"
"R26,""15K 1%"",""R_0805_2012Metric"",285.000000,-271.000000,-0.000000,bottom"
"R27,""2.2K 1%"",""R_0805_2012Metric"",282.000000,-287.000000,-0.000000,bottom"
"R28,""2.2K 1%"",""R_0805_2012Metric"",203.000000,-280.000000,-0.000000,bottom"
