Ref,Val,Package,PosX,PosY,Rot,Side
"C23,""1uf"",""C_0805_2012Metric"",39.318500,-125.856500,0.000000,top"
"C25,""1uf"",""C_0805_2012Metric"",39.318500,-131.876500,0.000000,top"
"C27,""1uf"",""C_0805_2012Metric"",43.768500,-125.856500,0.000000,top"
"C29,""1uf"",""C_0805_2012Metric"",43.768500,-131.876500,0.000000,top"
"C30,""1uf"",""C_0805_2012Metric"",48.218500,-122.846500,0.000000,top"
"C31,""1uf"",""C_0805_2012Metric"",48.218500,-125.856500,0.000000,top"
"C34,""1uf"",""C_0805_2012Metric"",52.668500,-122.846500,0.000000,top"
"C35,""1uf"",""C_0805_2012Metric"",52.668500,-125.856500,0.000000,top"
"C38,""4,7uf"",""C_0805_2012Metric"",224.408500,-138.591500,0.000000,top"
"C40,""4,7uf"",""C_0805_2012Metric"",224.408500,-141.601500,0.000000,top"
"C41,""100n"",""C_0805_2012Metric"",154.618500,-110.601500,-90.000000,top"
"C43,""100n"",""C_0805_2012Metric"",154.692250,-97.846500,-90.000000,top"
"C44,""100n"",""C_0805_2012Metric"",153.758500,-119.541500,0.000000,top"
"C45,""4,7uf"",""C_0805_2012Metric"",187.408500,-98.541500,90.000000,top"
"C46,""100n"",""C_0805_2012Metric"",153.808500,-106.541500,0.000000,top"
"C47,""68pf"",""C_0805_2012Metric"",162.101000,-115.296500,0.000000,top"
"C48,""4,7uf"",""C_0805_2012Metric"",185.208500,-98.541500,90.000000,top"
"C49,""68pf"",""C_0805_2012Metric"",162.142250,-102.446500,0.000000,top"
"C50,""1.2nF"",""C_0805_2012Metric"",165.701000,-114.196500,-90.000000,top"
"C51,""4,7uf"",""C_0805_2012Metric"",194.408500,-98.541500,90.000000,top"
"C52,""1.2nF"",""C_0805_2012Metric"",165.759750,-101.211500,-90.000000,top"
"C53,""68pf"",""C_0805_2012Metric"",161.401000,-118.196500,90.000000,top"
"C55,""68pf"",""C_0805_2012Metric"",161.442250,-105.346500,90.000000,top"
"C56,""4,7uf"",""C_0805_2012Metric"",179.908500,-97.441500,0.000000,top"
"C57,""4,7uf"",""C_0805_2012Metric"",223.171000,-147.586500,0.000000,top"
"C59,""4,7uf"",""C_0805_2012Metric"",223.171000,-150.596500,0.000000,top"
"C61,""4,7uf"",""C_0805_2012Metric"",189.608500,-98.541500,90.000000,top"
"C62,""4,7uf"",""C_0805_2012Metric"",198.808500,-98.541500,90.000000,top"
"C63,""4,7uf"",""C_0805_2012Metric"",196.608500,-98.541500,90.000000,top"
"C64,""100n"",""C_0805_2012Metric"",146.038500,-101.141500,90.000000,top"
"C66,""100n"",""C_0805_2012Metric"",146.838500,-92.141500,180.000000,top"
"C68,""68pf"",""C_0805_2012Metric"",138.438500,-95.541500,180.000000,top"
"C70,""1.2nF"",""C_0805_2012Metric"",134.688500,-96.591500,90.000000,top"
"C72,""68pf"",""C_0805_2012Metric"",139.138500,-92.591500,-90.000000,top"
"C96,""470uf"",""CP_Elec_8x10"",103.708500,-140.149000,90.000000,top"
"C97,""470uf"",""CP_Elec_8x10"",122.458500,-140.199000,90.000000,top"
"C98,""470uf"",""CP_Elec_8x10"",141.058500,-140.149000,90.000000,top"
"C99,""470uf"",""CP_Elec_8x10"",159.658500,-140.149000,90.000000,top"
"C100,""1uf"",""C_0805_2012Metric"",88.653500,-100.621500,0.000000,top"
"C101,""1uf"",""C_0805_2012Metric"",88.653500,-103.631500,0.000000,top"
"C141,""1uf"",""C_0805_2012Metric"",48.308500,-71.021500,0.000000,top"
"C144,""100n"",""C_0805_2012Metric"",128.258500,-99.441500,90.000000,top"
