"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"HS1";"TestPoint_Pad_1.0x1.0mm";1;"Heatsink";;;
2;"R92,R93,R90,R91,R88,R129,R139,R133,R136,R140,R125,R127,R130,R131,R132,R124,R126,R134,R138,R135,R89,R128,R137,R144,R96,R123,R97,R95,R94,R143,R142,R141,R2,R3,R4,R28,R17,R16,R27";"R_0805_2012Metric";39;"2.2K 1%";;;
3;"R101,R98,R120,R99,R100,R103,R121,R102";"R_0805_2012Metric";8;"100k";;;
4;"R122,R78,R79,R86,R82,R85,R75,R84,R77,R74,R73,R72,R18";"R_0805_2012Metric";13;"10k";;;
5;"C91";"CP_EIA-7343-31_Kemet-D";1;"100uF";;;
6;"C116,C117,C118,C119,C121,C124,C125,C127,C128,C132,C133,C134,C135,C136,C37,C35,C28,C34,C26,C32,C30,C27,C22,C24,C23,C25,C36,C33,C31,C29,C9,C8,C10,C111,C104,C110,C106,C103,C62,C85,C105,C101,C100,C87,C107,C63,C6,C86,C2,C5,C38,C39,C40,C83,C82,C141,C81,C80,C21,C19,C18,C20,C17,C61,C59,C77,C76,C60,C88";"C_0805_2012Metric";69;"1uf";;;
7;"C120,C122";"C_0805_2012Metric";2;"C";;;
8;"C123,C126,C137";"C_0805_2012Metric";3;"0.022-μF";;;
9;"C129,C130,CT1,CT3,C78,CT2";"CP_EIA-7343-31_Kemet-D";6;"100uf";;;
10;"C131,CT8,CT9,CT7,CT6,CT5,CT4";"CP_EIA-3528-21_Kemet-B";7;"10uf";;;
11;"DSI1,DSI2";"Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal";2;"Conn_01x22_Female";;;
12;"J2";"MTCONN_UBAF30-D2011";1;"USB3_A";;;
13;"J3,J4";"EDAC 690-019-298-412";2;"690-019-298-412";;;
14;"J11,J13";"PinHeader_2x02_P2.54mm_Vertical";2;"THD-02-R";;;
15;"R1,R56,R60,R58,R26,R66,R68";"R_0805_2012Metric";7;"15K 1%";;;
16;"R104,R105,R87";"R_0805_2012Metric";3;"47k";;;
17;"R106,R107";"R_0805_2012Metric";2;"1.5-kΩ";;;
18;"R108";"R_0805_2012Metric";1;"22";;;
19;"R109";"R_0805_2012Metric";1;"22Ω";;;
20;"R110";"R_0805_2012Metric";1;"R";;;
21;"R111,R112";"R_0805_2012Metric";2;"16";;;
22;"R113,R114";"R_0805_2012Metric";2;"330";;;
23;"R115,R116,R117,R118,R119";"R_0805_2012Metric";5;"10K";;;
24;"SPEAKER1,J32,J31";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";3;"Conn_01x02_Pin";;;
25;"SPI1,SPI2,SPI3,SPI4";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";4;"Conn_01x06_Socket";;;
26;"SW2,SW3,SW4";"PinHeader_1x02_P2.54mm_Vertical";3;"SW_Push";;;
27;"U59,U60,U61,U62,U2";"SOP50P490X110-10N";5;"TS5A23157DGSR";;;
28;"U64";"SSOP28";1;"PCM2704C";;;
29;"Y3";"Crystal_SMD_HC49-SD";1;"5MHz";;;
30;"C7,C11,C42,C41,C45,C43,C44,C46,C65,C66,C67,C64,C90,C89";"C_0805_2012Metric";14;"100n";;;
31;"D1,D3";"D_1206_3216Metric";2;"LED Green";;;
