Comment,Designator,Footprint,LCSC Part #
"Heatsink","HS1","TestPoint_Pad_1.0x1.0mm",
"2.2K 1%","R92","R_0805_2012Metric","C25744"
"2.2K 1%","R93","R_0805_2012Metric","C25744"
"2.2K 1%","R90","R_0805_2012Metric","C25744"
"2.2K 1%","R91","R_0805_2012Metric","C25744"
"2.2K 1%","R88","R_0805_2012Metric","C25744"
"2.2K 1%","R129","R_0805_2012Metric","C25744"
"2.2K 1%","R139","R_0805_2012Metric","C25744"
"2.2K 1%","R133","R_0805_2012Metric","C25744"
"2.2K 1%","R136","R_0805_2012Metric","C25744"
"2.2K 1%","R140","R_0805_2012Metric","C25744"
"2.2K 1%","R125","R_0805_2012Metric","C25744"
"2.2K 1%","R127","R_0805_2012Metric","C25744"
"2.2K 1%","R130","R_0805_2012Metric","C25744"
"2.2K 1%","R131","R_0805_2012Metric","C25744"
"2.2K 1%","R132","R_0805_2012Metric","C25744"
"2.2K 1%","R124","R_0805_2012Metric","C25744"
"2.2K 1%","R126","R_0805_2012Metric","C25744"
"2.2K 1%","R134","R_0805_2012Metric","C25744"
"2.2K 1%","R138","R_0805_2012Metric","C25744"
"2.2K 1%","R135","R_0805_2012Metric","C25744"
"2.2K 1%","R89","R_0805_2012Metric","C25744"
"2.2K 1%","R128","R_0805_2012Metric","C25744"
"2.2K 1%","R137","R_0805_2012Metric","C25744"
"2.2K 1%","R144","R_0805_2012Metric","C25744"
"2.2K 1%","R96","R_0805_2012Metric","C25744"
"2.2K 1%","R123","R_0805_2012Metric","C25744"
"2.2K 1%","R97","R_0805_2012Metric","C25744"
"2.2K 1%","R95","R_0805_2012Metric","C25744"
"2.2K 1%","R94","R_0805_2012Metric","C25744"
"2.2K 1%","R143","R_0805_2012Metric","C25744"
"2.2K 1%","R142","R_0805_2012Metric","C25744"
"2.2K 1%","R141","R_0805_2012Metric","C25744"
"2.2K 1%","R2","R_0805_2012Metric","C25744"
"2.2K 1%","R3","R_0805_2012Metric","C25744"
"2.2K 1%","R4","R_0805_2012Metric","C25744"
"2.2K 1%","R28","R_0805_2012Metric","C25744"
"2.2K 1%","R17","R_0805_2012Metric","C25744"
"2.2K 1%","R16","R_0805_2012Metric","C25744"
"2.2K 1%","R27","R_0805_2012Metric","C25744"
"100k","R101","R_0805_2012Metric","C25804"
"100k","R98","R_0805_2012Metric","C25804"
"100k","R120","R_0805_2012Metric","C25804"
"100k","R99","R_0805_2012Metric","C25804"
"100k","R100","R_0805_2012Metric","C25804"
"100k","R103","R_0805_2012Metric","C25804"
"100k","R121","R_0805_2012Metric","C25804"
"100k","R102","R_0805_2012Metric","C25804"
"10k","R122","R_0805_2012Metric","C25740"
"10k","R78","R_0805_2012Metric","C25740"
"10k","R79","R_0805_2012Metric","C25740"
"10k","R86","R_0805_2012Metric","C25740"
"10k","R82","R_0805_2012Metric","C25740"
"10k","R85","R_0805_2012Metric","C25740"
"10k","R75","R_0805_2012Metric","C25740"
"10k","R84","R_0805_2012Metric","C25740"
"10k","R77","R_0805_2012Metric","C25740"
"10k","R74","R_0805_2012Metric","C25740"
"10k","R73","R_0805_2012Metric","C25740"
"10k","R72","R_0805_2012Metric","C25740"
"10k","R18","R_0805_2012Metric","C25740"
"100uF","C91","CP_EIA-7343-31_Kemet-D","C7226"
"1uf","C116","C_0805_2012Metric","C19702"
"1uf","C117","C_0805_2012Metric","C19702"
"1uf","C118","C_0805_2012Metric","C19702"
"1uf","C119","C_0805_2012Metric","C19702"
"1uf","C121","C_0805_2012Metric","C19702"
"1uf","C124","C_0805_2012Metric","C19702"
"1uf","C125","C_0805_2012Metric","C19702"
"1uf","C127","C_0805_2012Metric","C19702"
"1uf","C128","C_0805_2012Metric","C19702"
"1uf","C132","C_0805_2012Metric","C19702"
"1uf","C133","C_0805_2012Metric","C19702"
"1uf","C134","C_0805_2012Metric","C19702"
"1uf","C135","C_0805_2012Metric","C19702"
"1uf","C37","C_0805_2012Metric","C19702"
"1uf","C35","C_0805_2012Metric","C19702"
"1uf","C28","C_0805_2012Metric","C19702"
"1uf","C34","C_0805_2012Metric","C19702"
"1uf","C26","C_0805_2012Metric","C19702"
"1uf","C32","C_0805_2012Metric","C19702"
"1uf","C30","C_0805_2012Metric","C19702"
"1uf","C27","C_0805_2012Metric","C19702"
"1uf","C22","C_0805_2012Metric","C19702"
"1uf","C24","C_0805_2012Metric","C19702"
"1uf","C23","C_0805_2012Metric","C19702"
"1uf","C25","C_0805_2012Metric","C19702"
"1uf","C36","C_0805_2012Metric","C19702"
"1uf","C33","C_0805_2012Metric","C19702"
"1uf","C31","C_0805_2012Metric","C19702"
"1uf","C29","C_0805_2012Metric","C19702"
"1uf","C9","C_0805_2012Metric","C19702"
"1uf","C8","C_0805_2012Metric","C19702"
"1uf","C10","C_0805_2012Metric","C19702"
"1uf","C111","C_0805_2012Metric","C19702"
"1uf","C104","C_0805_2012Metric","C19702"
