Designator,Mid X,Mid Y,Layer,Rotation
C1,337.000000mm,-281.000000mm,Bottom,0.000000
C2,316.000000mm,-249.000000mm,Bottom,0.000000
C3,226.000000mm,-275.000000mm,Bottom,0.000000
C4,209.000000mm,-280.000000mm,Bottom,0.000000
C5,334.000000mm,-263.000000mm,Bottom,0.000000
C6,311.000000mm,-249.000000mm,Bottom,0.000000
C12,231.000000mm,-263.000000mm,Bottom,0.000000
C13,313.000000mm,-287.000000mm,Bottom,0.000000
C14,237.000000mm,-263.000000mm,Bottom,0.000000
C15,345.000000mm,-286.000000mm,Bottom,0.000000
C16,240.000000mm,-283.000000mm,Bottom,0.000000
C17,303.000000mm,-210.000000mm,Bottom,0.000000
C18,298.000000mm,-210.000000mm,Bottom,0.000000
C19,350.000000mm,-243.000000mm,Bottom,0.000000
C20,304.000000mm,-249.000000mm,Bottom,0.000000
C21,298.000000mm,-216.000000mm,Bottom,0.000000
C22,213.000000mm,-266.000000mm,Bottom,0.000000
C23,331.000000mm,-281.000000mm,Bottom,0.000000
C24,323.000000mm,-219.000000mm,Bottom,0.000000
C25,205.000000mm,-262.000000mm,Bottom,0.000000
C26,344.000000mm,-263.000000mm,Bottom,0.000000
C27,270.000000mm,-197.000000mm,Bottom,0.000000
C28,223.000000mm,-286.000000mm,Bottom,0.000000
C29,328.000000mm,-219.000000mm,Bottom,0.000000
C30,291.000000mm,-255.000000mm,Bottom,0.000000
C31,214.000000mm,-277.000000mm,Bottom,0.000000
C32,265.000000mm,-272.000000mm,Bottom,0.000000
C33,335.000000mm,-287.000000mm,Bottom,0.000000
C34,292.000000mm,-249.000000mm,Bottom,0.000000
C35,342.000000mm,-219.000000mm,Bottom,0.000000
C36,339.000000mm,-269.000000mm,Bottom,0.000000
C37,349.000000mm,-263.000000mm,Bottom,0.000000
C38,347.000000mm,-250.000000mm,Bottom,0.000000
C39,293.000000mm,-236.000000mm,Bottom,0.000000
C40,339.000000mm,-250.000000mm,Bottom,0.000000
C41,210.000000mm,-256.000000mm,Bottom,90.000000
C42,310.000000mm,-281.000000mm,Bottom,90.000000
C43,221.000000mm,-197.000000mm,Bottom,90.000000
C44,201.000000mm,-257.000000mm,Bottom,90.000000
C45,305.000000mm,-281.000000mm,Bottom,90.000000
C46,212.000000mm,-197.000000mm,Bottom,90.000000
C47,204.000000mm,-257.000000mm,Bottom,90.000000
C48,308.000000mm,-267.000000mm,Bottom,90.000000
C49,204.000000mm,-201.000000mm,Bottom,90.000000
C50,224.000000mm,-193.000000mm,Bottom,90.000000
C51,207.000000mm,-228.000000mm,Bottom,90.000000
C52,224.000000mm,-219.000000mm,Bottom,90.000000
C53,212.000000mm,-235.000000mm,Bottom,90.000000
C54,295.000000mm,-270.000000mm,Bottom,90.000000
C55,209.000000mm,-197.000000mm,Bottom,90.000000
C56,236.000000mm,-194.000000mm,Bottom,0.000000
C57,212.000000mm,-242.000000mm,Bottom,0.000000
C58,281.000000mm,-204.000000mm,Bottom,0.000000
C59,286.000000mm,-222.000000mm,Bottom,90.000000
C60,275.000000mm,-192.000000mm,Bottom,90.000000
C61,212.000000mm,-192.000000mm,Bottom,90.000000
C62,340.000000mm,-243.000000mm,Bottom,0.000000
C63,352.000000mm,-249.000000mm,Bottom,0.000000
C64,212.000000mm,-261.000000mm,Bottom,90.000000
C65,215.000000mm,-197.000000mm,Bottom,90.000000
C66,209.000000mm,-275.000000mm,Bottom,90.000000
C67,201.000000mm,-202.000000mm,Bottom,90.000000
C68,209.000000mm,-267.000000mm,Bottom,90.000000
C69,201.000000mm,-197.000000mm,Bottom,90.000000
C70,282.000000mm,-267.000000mm,Bottom,90.000000
C71,232.000000mm,-219.000000mm,Bottom,90.000000
C72,249.000000mm,-260.000000mm,Bottom,90.000000
C73,269.000000mm,-192.000000mm,Bottom,90.000000
C74,245.000000mm,-248.000000mm,Bottom,0.000000
C75,284.000000mm,-214.000000mm,Bottom,0.000000
C76,246.000000mm,-255.000000mm,Bottom,90.000000
C77,278.000000mm,-192.000000mm,Bottom,90.000000
C85,326.000000mm,-256.000000mm,Bottom,0.000000
C86,324.000000mm,-250.000000mm,Bottom,0.000000
C87,312.000000mm,-256.000000mm,Bottom,0.000000
C88,308.000000mm,-210.000000mm,Bottom,0.000000
C89,220.000000mm,-271.000000mm,Bottom,0.000000
C90,205.000000mm,-271.000000mm,Bottom,0.000000
C91,221.000000mm,-280.000000mm,Bottom,0.000000
C100,352.000000mm,-240.000000mm,Bottom,0.000000
C101,302.000000mm,-230.000000mm,Bottom,0.000000
C102,225.000000mm,-226.000000mm,Bottom,0.000000
C103,304.000000mm,-255.000000mm,Bottom,0.000000
C104,278.000000mm,-267.000000mm,Bottom,0.000000
C105,244.000000mm,-192.000000mm,Bottom,0.000000
C106,299.000000mm,-236.000000mm,Bottom,0.000000
C107,293.000000mm,-207.000000mm,Bottom,0.000000
C108,303.000000mm,-243.000000mm,Bottom,0.000000
C109,318.000000mm,-191.000000mm,Bottom,0.000000
C110,212.000000mm,-212.000000mm,Bottom,0.000000
C111,212.000000mm,-209.000000mm,Bottom,0.000000
C112,224.000000mm,-206.000000mm,Bottom,0.000000
C113,240.000000mm,-207.000000mm,Bottom,0.000000
C116,353.000000mm,-237.000000mm,Bottom,0.000000
C117,353.000000mm,-234.000000mm,Bottom,0.000000
C118,353.000000mm,-231.000000mm,Bottom,0.000000
C119,304.000000mm,-236.000000mm,Bottom,0.000000
C120,327.000000mm,-263.000000mm,Bottom,0.000000
C121,205.000000mm,-265.000000mm,Bottom,0.000000
C122,326.000000mm,-280.000000mm,Bottom,0.000000
C123,216.000000mm,-251.000000mm,Bottom,0.000000
C124,325.000000mm,-288.000000mm,Bottom,0.000000
C125,339.000000mm,-256.000000mm,Bottom,0.000000
C126,220.000000mm,-264.000000mm,Bottom,0.000000
C127,344.000000mm,-270.000000mm,Bottom,0.000000
C128,350.000000mm,-269.000000mm,Bottom,0.000000
C129,319.000000mm,-270.000000mm,Bottom,0.000000
C130,319.000000mm,-280.000000mm,Bottom,0.000000
C131,345.000000mm,-281.000000mm,Bottom,0.000000
C132,321.000000mm,-256.000000mm,Bottom,0.000000
C133,314.000000mm,-263.000000mm,Bottom,0.000000
C134,297.000000mm,-249.000000mm,Bottom,0.000000
C135,205.000000mm,-268.000000mm,Bottom,0.000000
C136,339.000000mm,-263.000000mm,Bottom,0.000000
C137,293.000000mm,-262.000000mm,Bottom,0.000000
C139,222.000000mm,-258.000000mm,Bottom,0.000000
C140,234.000000mm,-257.000000mm,Bottom,0.000000
C141,211.000000mm,-206.000000mm,Bottom,0.000000
C142,226.000000mm,-212.000000mm,Bottom,0.000000
C143,237.000000mm,-226.000000mm,Bottom,0.000000
CT2,350.000000mm,-220.000000mm,Bottom,0.000000
CT4,253.000000mm,-201.000000mm,Bottom,0.000000
CT5,287.000000mm,-192.000000mm,Bottom,0.000000
CT6,293.000000mm,-211.000000mm,Bottom,0.000000
CT7,212.000000mm,-216.000000mm,Bottom,0.000000
CT8,260.000000mm,-194.000000mm,Bottom,0.000000
CT9,205.000000mm,-275.000000mm,Bottom,0.000000
D7,345.000000mm,-243.000000mm,Bottom,0.000000
D8,347.000000mm,-216.000000mm,Bottom,0.000000
D9,311.000000mm,-219.000000mm,Bottom,0.000000
D10,321.000000mm,-237.000000mm,Bottom,0.000000
FB1,213.000000mm,-230.000000mm,Bottom,0.000000
L1,207.000000mm,-250.000000mm,Bottom,0.000000
L2,295.000000mm,-282.000000mm,Bottom,0.000000
L3,234.000000mm,-202.000000mm,Bottom,0.000000
L4,238.000000mm,-234.000000mm,Bottom,0.000000
L5,252.000000mm,-195.000000mm,Bottom,0.000000
Q4,292.000000mm,-216.000000mm,Bottom,0.000000
Q5,277.000000mm,-282.000000mm,Bottom,0.000000
Q6,316.000000mm,-237.000000mm,Bottom,0.000000
Q7,316.000000mm,-242.000000mm,Bottom,0.000000
Q8,217.000000mm,-235.000000mm,Bottom,0.000000
Q9,236.000000mm,-245.000000mm,Bottom,0.000000
Q10,280.000000mm,-261.000000mm,Bottom,0.000000
