Cikkszám;Qty
100.392.15;4
100.427.11;35
100.277.53;5
100.277.92;3
100.011.24;1
100.011.22;15
100.380.72;6
100.491.13;3
100.200.77;2
100.365.90;9
100.489.14;1
100.385.23;9
100.491.23;4
100.220.12;1
C1F-5;1
100.387.12;2
100.354.92;1
?;1
100.490.90;5
100.491.14;1
100.491.16;4
100.210.22;1
100.484.30;2
100.401.26;2
100.401.27;2
100.011.42;9
100.011.45;12
100.011.70;8
100.011.44;4
100.011.43;10
100.491.24;6
100.491.07;4
100.491.08;2
100.491.05;1
100.467.55;3
100.491.09;1
100.011.48;3
100.011.72;3
100.011.81;5
100.201.73;2
100.406.77;2
100.491.04;2
100.491.11;2
100.491.12;2
100.011.57;1
100.491.10;1
RC1206FR-07178KL;1
100.011.62;4
100.491.25;4
100.280.57;4
100.491.21;1
100.491.22;1
100.377.68;1
389-KTS1900QGXAA-TA;1
100.491.20;16
100.491.27;3
LTC3119HFE#PBF ;2
